ad_id,brand_category,competitor_page,ad_creation_time,ad_creative_body,spend_lower_inr,spend_upper_inr,impressions_lower,impressions_upper,publisher_platform,region_distribution,target_age_group,cta_type,is_active
AD_100000,Little Joys,Slurrp Farm,2025-10-24,Transform your hair naturally.,16662,23405,19030,87661,Messenger,India - South,35-44,Learn More,True
AD_100001,Bebodywise,Nua Woman,2025-09-18,Flat 40% off on your first purchase.,6095,31817,27803,209073,Messenger,India - North,45-54,Sign Up,True
AD_100002,Bebodywise,Nua Woman,2025-09-17,Transform your hair naturally.,4588,11742,50857,169146,Messenger,India - West,18-24,Learn More,False
AD_100003,Bebodywise,Plix,2025-11-29,Transform your hair naturally.,9911,30677,19646,161324,Facebook,India - North,25-34,Sign Up,True
AD_100004,Bebodywise,Plix,2025-12-21,Dermatologist tested and approved.,3738,5900,87386,263838,Instagram,India - North,18-24,Order Now,False
AD_100005,Man Matters,Beardo,2025-09-22,Limited time offer! Get healthier skin today.,4889,26488,79702,164906,Facebook,India - West,25-34,Shop Now,True
AD_100006,Man Matters,Beardo,2025-10-11,Doctor recommended wellness formula.,7229,10217,72545,139408,Audience Network,India - West,18-24,Shop Now,False
AD_100007,Bebodywise,Setu Nutrition,2025-11-30,Flat 40% off on your first purchase.,13170,24763,81980,182026,Messenger,India - East,18-24,Learn More,True
AD_100008,Little Joys,Brainiac,2025-12-28,Transform your hair naturally.,11175,34612,20939,92811,Instagram,India - West,45-54,Order Now,True
AD_100009,Bebodywise,Setu Nutrition,2025-10-25,Boost immunity with natural ingredients.,6989,10419,14799,41775,Instagram,India - North,45-54,Sign Up,False
AD_100010,Little Joys,Slurrp Farm,2025-12-24,Transform your hair naturally.,19744,27654,11832,78829,Facebook,India - South,35-44,Sign Up,False
AD_100011,Man Matters,Traya,2025-09-03,Transform your hair naturally.,13457,32739,31996,210928,Facebook,India - West,18-24,Shop Now,True
AD_100012,Man Matters,Traya,2025-12-04,Give your baby the best nutrition.,11029,17849,50894,112787,Messenger,India - East,18-24,Order Now,True
AD_100013,Man Matters,The Man Company,2025-08-25,Feel confident every day.,1586,21728,88494,147946,Facebook,India - North,18-24,Order Now,True
AD_100014,Little Joys,Brainiac,2025-11-03,Dermatologist tested and approved.,7501,25459,5423,99771,Messenger,India - North,35-44,Order Now,True
AD_100015,Man Matters,Traya,2026-02-09,Transform your hair naturally.,10591,23330,93491,120420,Audience Network,India - West,35-44,Order Now,False
AD_100016,Bebodywise,Nua Woman,2025-11-26,Flat 40% off on your first purchase.,1560,20439,94196,250426,Instagram,India - West,18-24,Shop Now,True
AD_100017,Man Matters,The Man Company,2026-01-11,Clinically proven results in 30 days.,13949,31663,26602,123456,Audience Network,India - East,35-44,Sign Up,False
AD_100018,Bebodywise,Setu Nutrition,2025-12-19,Dermatologist tested and approved.,7032,28789,78608,240966,Instagram,India - West,18-24,Learn More,True
AD_100019,Little Joys,Slurrp Farm,2025-12-07,Boost immunity with natural ingredients.,9326,21600,77852,184932,Messenger,India - East,45-54,Sign Up,False
AD_100020,Man Matters,The Man Company,2025-10-22,Dermatologist tested and approved.,17016,31659,47854,62437,Audience Network,India - South,25-34,Order Now,True
AD_100021,Little Joys,Slurrp Farm,2025-10-20,Boost immunity with natural ingredients.,13271,36768,74543,269140,Instagram,India - North,18-24,Sign Up,True
AD_100022,Man Matters,Beardo,2025-09-10,Doctor recommended wellness formula.,3596,31059,72198,271427,Audience Network,India - East,45-54,Shop Now,False
AD_100023,Bebodywise,Setu Nutrition,2025-10-05,Limited time offer! Get healthier skin today.,2042,4687,21103,164184,Messenger,India - South,45-54,Learn More,False
AD_100024,Bebodywise,Nua Woman,2025-09-06,Doctor recommended wellness formula.,16053,43829,25542,51956,Instagram,India - North,45-54,Order Now,True
AD_100025,Bebodywise,Nua Woman,2025-11-21,Special festive discount live now.,9043,32744,7079,177954,Facebook,India - East,45-54,Shop Now,False
AD_100026,Little Joys,Brainiac,2026-02-20,Boost immunity with natural ingredients.,8163,30377,11320,160855,Messenger,India - West,18-24,Order Now,True
AD_100027,Man Matters,The Man Company,2025-12-23,Feel confident every day.,2419,5741,13892,180944,Audience Network,India - South,45-54,Sign Up,True
AD_100028,Bebodywise,Nua Woman,2025-11-15,Feel confident every day.,4788,12939,65061,173491,Instagram,India - East,35-44,Order Now,False
AD_100029,Little Joys,Brainiac,2025-11-06,Flat 40% off on your first purchase.,15780,30507,65474,202449,Audience Network,India - North,18-24,Learn More,True
AD_100030,Bebodywise,Nua Woman,2025-11-05,Limited time offer! Get healthier skin today.,11554,33522,90004,224568,Messenger,India - South,35-44,Learn More,True
AD_100031,Man Matters,Beardo,2026-02-10,Limited time offer! Get healthier skin today.,14342,36842,67939,197510,Instagram,India - South,18-24,Shop Now,False
AD_100032,Bebodywise,Plix,2025-12-16,Doctor recommended wellness formula.,6773,27568,66172,153418,Audience Network,India - East,35-44,Order Now,False
AD_100033,Little Joys,Supples,2025-11-10,Limited time offer! Get healthier skin today.,2555,16422,79077,198446,Instagram,India - North,18-24,Learn More,False
AD_100034,Bebodywise,Nua Woman,2025-12-11,Doctor recommended wellness formula.,19725,49226,15052,71654,Facebook,India - South,45-54,Learn More,True
